x,y,X,Y,text,block_id
135,181,308,218,ConstITUtIO,0
156,264,217,284,NLTHE,1
218,264,276,284,PEOPLE,1
267,265,295,282,OF,1
297,264,341,284,"INDIA,",1
338,266,373,284,having,1
375,265,424,285,solemnly,1
124,287,183,307,resolvedto,2
182,289,235,304,constitute,2
230,287,263,304,Indio,2
261,287,285,306,into,2
284,290,295,306,a,2
298,287,372,303,SOVEREIGN,2
375,287,423,303,DEMO-,2
124,308,176,328,CRATIC,3
177,310,242,326,REPUBLIC,3
242,310,264,327,and,3
261,311,274,327,to,3
274,311,311,327,secure,3
310,311,323,327,10,3
321,308,339,327,all,3
338,310,352,326,its,3
351,307,398,327,cilizens:,3
139,331,199,352,"JUSTICE,",4
200,332,285,348,"social,economic",4
285,331,308,349,and,4
308,331,358,352,political;,4
142,353,255,373,"LIBERTYofthought,",5
254,353,313,373,"expression,",5
312,353,346,370,belief,5
345,353,371,370,faith,5
371,352,393,370,and,5
125,375,176,395,worship,6
143,396,259,416,EQUALITYofstatus,7
260,396,282,413,and,7
280,395,298,415,of,7
298,396,360,416,opportunity:,7
125,419,147,437,and,8
146,420,160,436,to,8
159,419,204,438,promote,8
204,420,238,437,amnong,8
238,419,267,436,them,8
265,416,282,436,all,8
144,441,233,457,FRATERNITY,9
233,440,282,459,assuring,9
280,438,299,458,the,9
299,440,364,459,dignityofthe,9
364,437,417,457,individual,9
124,463,150,480,and,10
147,462,169,480,the,10
168,462,200,483,unity,10
198,462,233,479,of the,10
231,461,277,480,Nafion,10
143,483,161,503,IN,11
163,484,195,501,oUR,11
199,484,297,500,CONSTITUENT,11
302,483,390,499,ASSEMBLYhis,11
388,482,425,503,twenty-,11
126,507,155,524,sixh,12
152,505,179,528,day,12
177,505,195,525,of,12
195,507,252,522,"November,",12
252,508,285,525,"1949,",12
284,504,303,525,do,12
304,504,364,524,HEREBY,12
365,503,420,524,"ADOPT,",12
125,526,178,546,ENACT,13
179,525,216,546,AND,13
217,526,259,546,GIVE,13
264,526,290,545,TO,13
298,528,382,543,oUrSELVES,13
389,526,424,543,THIS,13
126,549,241,567,CONSTITUTION.,14
